==> /mnt/v0/result_v2/datasets/1351[0.001].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,6,0,0,0,1702857480,2,0,0,5231,1
0,0,2,0,0,0,1702857480,2,0,0,2854912,1
0,0,4,0,0,0,1702857498,7,0,0,1859584,1
0,0,305,0,0,0,1702862307,0,0,0,237568,1
0,0,2,0,0,0,1702857479,0,0,0,2142208,1
0,0,4,0,0,0,1702857951,1,0,0,791196,1
0,0,4,0,0,0,1702857489,2,0,0,684032,1
0,0,3,0,0,0,1702857553,1,0,0,8388608,1
0,0,5,0,0,0,1702857482,0,0,0,2113536,1

==> /mnt/v0/result_v2/datasets/block_traces_5[0.1,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,6,0,0,0,1702857480,2,0,0,1,1
0,0,2,0,0,0,1702857480,2,0,0,1,1
0,0,4,0,0,0,1702857498,7,0,0,1,1
0,0,305,0,0,0,1702862307,0,0,0,1,1
0,0,2,0,0,0,1702857479,0,0,0,1,1
0,0,4,0,0,0,1702857951,1,0,0,1,1
0,0,4,0,0,0,1702857489,2,0,0,1,1
0,0,3,0,0,0,1702857553,1,0,0,1,1
0,0,5,0,0,0,1702857482,0,0,0,1,1

==> /mnt/v0/result_v2/datasets/block_traces_5[0.2].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,6,0,0,0,1702857480,2,0,0,5231,1
0,0,2,0,0,0,1702857480,2,0,0,2854912,1
0,0,4,0,0,0,1702857498,7,0,0,1859584,1
0,0,305,0,0,0,1702862307,0,0,0,237568,1
0,0,2,0,0,0,1702857479,0,0,0,2142208,1
0,0,4,0,0,0,1702857951,1,0,0,791196,1
